iter	Passed	Remaining
414	3202	4514
415	3210	4506
416	3218	4499
417	3225	4490
418	3232	4482
419	3240	4474
420	3247	4465
421	3254	4457
422	3262	4449
423	3270	4442
424	3277	4434
425	3285	4426
426	3292	4418
427	3299	4410
428	3307	4402
429	3314	4394
430	3322	4385
431	3329	4378
432	3337	4370
433	3345	4362
434	3352	4354
435	3360	4346
436	3368	4339
437	3375	4331
438	3383	4323
439	3390	4315
440	3397	4307
441	3405	4299
442	3412	4291
443	3420	4283
444	3428	4275
445	3435	4267
446	3442	4258
447	3450	4251
448	3457	4243
449	3465	4235
450	3472	4226
451	3479	4218
452	3487	4210
453	3494	4202
454	3502	4194
455	3509	4187
456	3517	4179
457	3524	4170
458	3532	4163
459	3539	4155
460	3547	4147
461	3554	4139
462	3561	4131
463	3569	4123
464	3576	4115
465	3583	4106
466	3591	4099
467	3599	4091
468	3606	4083
469	3614	4075
470	3621	4067
471	3629	4060
472	3636	4051
473	3643	4043
474	3650	4035
475	3658	4027
476	3666	4019
477	3673	4011
478	3680	4003
479	3687	3995
480	3695	3987
481	3703	3979
482	3710	3971
483	3717	3963
484	3725	3956
485	3732	3948
486	3740	3939
487	3747	3931
488	3754	3923
489	3762	3916
490	3769	3908
491	3777	3899
492	3784	3891
493	3792	3884
494	3799	3876
495	3807	3868
496	3814	3860
497	3822	3853
498	3830	3845
499	3837	3837
500	3845	3829
501	3852	3821
502	3859	3813
503	3867	3806
504	3874	3798
505	3882	3790
506	3890	3782
507	3897	3774
508	3905	3767
509	3912	3759
510	3920	3751
511	3929	3744
512	3936	3736
513	3944	3729
514	3951	3721
515	3960	3714
516	3967	3706
517	3974	3698
518	3982	3690
519	3990	3683
520	3997	3675
521	4005	3667
522	4012	3659
523	4019	3651
524	4027	3643
525	4034	3636
526	4042	3628
527	4050	3620
528	4058	3613
529	4066	3605
530	4073	3597
531	4080	3589
532	4088	3582
533	4096	3575
534	4104	3567
535	4112	3559
536	4119	3552
537	4127	3544
538	4135	3537
539	4143	3530
540	4151	3522
541	4159	3514
542	4167	3507
543	4175	3500
544	4183	3492
545	4191	3485
546	4199	3478
547	4206	3469
548	4214	3462
549	4222	3454
550	4229	3446
551	4236	3438
552	4244	3431
553	4252	3423
554	4260	3415
555	4268	3408
556	4275	3400
557	4283	3393
558	4291	3385
559	4299	3377
560	4306	3369
561	4314	3362
562	4323	3355
563	4330	3347
564	4337	3339
565	4345	3332
566	4354	3325
567	4361	3317
568	4368	3309
569	4376	3301
570	4383	3293
571	4390	3285
572	4398	3277
573	4405	3269
574	4412	3261
575	4420	3253
576	4428	3246
577	4436	3238
578	4443	3230
579	4451	3223
580	4458	3215
581	4466	3207
582	4474	3200
583	4482	3193
584	4490	3185
585	4498	3177
586	4505	3170
587	4513	3162
588	4520	3154
589	4528	3146
590	4536	3139
591	4543	3131
592	4551	3123
593	4558	3116
594	4566	3108
595	4574	3101
596	4582	3093
597	4590	3085
598	4597	3077
599	4605	3070
600	4613	3062
601	4620	3054
602	4628	3047
603	4636	3039
604	4644	3032
605	4651	3024
606	4658	3016
607	4666	3008
608	4674	3001
609	4682	2993
610	4689	2985
611	4696	2977
612	4704	2970
613	4712	2962
614	4719	2954
615	4727	2946
616	4735	2939
617	4742	2931
618	4749	2923
619	4757	2915
620	4765	2908
621	4772	2900
622	4779	2892
623	4787	2884
624	4795	2877
625	4803	2869
626	4810	2861
627	4817	2853
628	4825	2846
629	4833	2838
630	4840	2830
631	4848	2823
632	4856	2815
633	4864	2808
634	4872	2800
635	4879	2792
636	4887	2784
637	4894	2777
638	4902	2769
639	4910	2762
640	4918	2754
641	4926	2747
642	4933	2738
643	4940	2731
644	4948	2723
645	4955	2715
646	4963	2708
647	4971	2700
648	4979	2692
649	4986	2685
650	4994	2677
651	5002	2670
652	5010	2662
653	5017	2654
654	5024	2646
655	5032	2639
656	5040	2631
657	5047	2623
658	5055	2616
659	5063	2608
660	5071	2600
661	5078	2593
662	5086	2585
663	5094	2578
664	5102	2570
665	5109	2562
666	5117	2554
667	5125	2547
668	5133	2540
669	5141	2532
670	5148	2524
671	5155	2516
672	5163	2508
673	5171	2501
674	5179	2493
675	5187	2486
676	5195	2478
677	5202	2470
678	5209	2463
679	5218	2455
680	5225	2447
681	5233	2440
682	5241	2432
683	5248	2424
684	5255	2416
685	5263	2409
686	5270	2401
687	5278	2393
688	5286	2386
689	5294	2378
690	5302	2370
691	5309	2363
692	5316	2355
693	5324	2347
694	5333	2340
695	5340	2332
696	5348	2325
697	5356	2317
698	5364	2309
699	5371	2301
700	5379	2294
701	5386	2286
702	5395	2279
703	5403	2271
704	5410	2264
705	5418	2256
706	5425	2248
707	5433	2240
708	5441	2233
709	5447	2225
710	5455	2217
711	5463	2209
712	5470	2202
713	5477	2194
714	5485	2186
715	5492	2178
716	5500	2171
717	5508	2163
718	5515	2155
719	5524	2148
720	5531	2140
721	5539	2132
722	5546	2125
723	5554	2117
724	5561	2109
725	5569	2101
726	5576	2094
727	5584	2086
728	5593	2079
729	5600	2071
730	5622	2068
731	5629	2061
732	5636	2053
733	5644	2045
734	5651	2037
735	5659	2030
736	5667	2022
737	5675	2014
738	5682	2006
739	5690	1999
740	5697	1991
741	5705	1983
742	5712	1976
743	5720	1968
744	5727	1960
745	5735	1952
746	5742	1945
747	5750	1937
748	5758	1929
749	5765	1921
750	5773	1914
751	5780	1906
752	5788	1898
753	5796	1891
754	5803	1883
755	5810	1875
756	5818	1867
757	5826	1860
758	5833	1852
759	5841	1844
760	5848	1836
761	5856	1829
762	5864	1821
763	5872	1813
764	5879	1806
765	5887	1798
766	5895	1790
767	5902	1783
768	5910	1775
769	5918	1767
770	5925	1760
771	5933	1752
772	5940	1744
773	5947	1736
774	5955	1728
775	5962	1721
776	5970	1713
777	5978	1705
778	5985	1698
779	5992	1690
780	5999	1682
781	6007	1674
782	6014	1666
783	6022	1659
784	6029	1651
785	6037	1643
786	6045	1636
787	6052	1628
788	6059	1620
789	6067	1612
790	6074	1605
791	6082	1597
792	6089	1589
793	6097	1581
794	6105	1574
795	6112	1566
796	6120	1558
797	6127	1551
798	6134	1543
799	6142	1535
800	6149	1527
801	6157	1520
802	6165	1512
803	6172	1504
804	6180	1497
805	6187	1489
806	6195	1481
807	6203	1473
808	6210	1466
809	6218	1458
810	6226	1450
811	6233	1443
812	6241	1435
813	6248	1427
814	6256	1420
815	6264	1412
816	6272	1404
817	6279	1397
818	6286	1389
819	6294	1381
820	6302	1374
821	6310	1366
822	6317	1358
823	6325	1351
824	6333	1343
825	6340	1335
826	6348	1328
827	6355	1320
828	6363	1312
829	6371	1305
830	6379	1297
831	6386	1289
832	6394	1281
833	6402	1274
834	6409	1266
835	6416	1258
836	6423	1250
837	6431	1243
838	6439	1235
839	6446	1227
840	6453	1220
841	6460	1212
842	6468	1204
843	6476	1197
844	6483	1189
845	6491	1181
846	6499	1174
847	6506	1166
848	6514	1158
849	6521	1150
850	6529	1143
851	6537	1135
852	6544	1127
853	6552	1120
854	6559	1112
855	6568	1104
856	6575	1097
857	6583	1089
858	6591	1081
859	6599	1074
860	6606	1066
861	6614	1058
862	6621	1051
863	6629	1043
864	6637	1035
865	6645	1028
866	6652	1020
867	6660	1012
868	6667	1005
869	6675	997
870	6682	989
871	6690	982
872	6698	974
873	6706	966
874	6713	959
875	6721	951
876	6729	943
877	6736	936
878	6743	928
879	6750	920
880	6757	912
881	6764	905
882	6772	897
883	6779	889
884	6787	881
885	6794	874
886	6802	866
887	6809	858
888	6817	851
889	6826	843
890	6833	835
891	6840	828
892	6848	820
893	6856	812
894	6863	805
895	6870	797
896	6877	789
897	6885	782
898	6893	774
899	6900	766
900	6908	759
901	6915	751
902	6922	743
